City,Country,One Way Cost,Round Trip Cost
Beijing,China,2354,7822
Cairo,Egypt,824,1377
Kashgar,China,2012,8938
Kathmandu,Nepal,913,2021
Suzhou,China,784,6934
Warsaw,Poland,935,1534
Addis Ababa,Ethiopia,860,1926
Ibadan,Nigeria,736,2019
New Taipei City,Taiwan,996,1675
Guadalajara,Mexico,165,366
Santa Cruz de la Sierra,Bolivia,786,1783
Rio de Janeiro,Brazil,539,1096
Tokyo,Japan,1031,1554
Casablanca,Morocco,930,1605
T’bilisi,Georgia,536,1253
Dubai,United Arab Emirates,917,1906
Istanbul,Turkey,924,1587
Makassar,Indonesia,1221,2543
Singapore,Singapore,751,2064
Daegu,South Korea,2849,5099
El Paso,United States,1093,790
